A0A0C5B5G6	A0A0C5B5G6
Q70EL4	Q70EL4
Q70EL4	Q70CQ4
Q7Z333	Q7Z333
Q7Z333	A2AKX3
Q86SG2	Q86SG2
Q86SG2	Q812A3
Q86SG2	Q15327
Q86SG2	Q9CR42
Q86SG2	Q7ZT11
Q86SG2	Q8R560
Q86SG2	Q865U8
Q86SG2	Q9WV06
Q86SG2	Q9GZV1
Q8IUY3	Q8IUY3
Q8N6K7	Q8N6K7
Q8TF74	Q8TF74
Q8TF74	Q6IN36
Q8TF74	Q8K1I7
Q8TF74	O43516
Q8WWC4	Q8WWC4
Q96C45	Q96C45
Q96C45	Q3V129
Q96MF7	Q96MF7
Q99944	Q99944
Q9BSK4	Q9BSK4
Q9BSK4	Q9Z2G1
Q9BSK4	Q96JP0
Q9H799	Q9H799
Q9H799	Q8CE72
Q9NPI6	Q9NPI6
Q9NPI6	Q91YD3
Q9UJA5	Q9UJA5
Q9UNY4	Q9UNY4
Q9Y282	Q9Y282
Q9Y3A3	Q9Y3A3
Q9Y3A3	Q7K0E3
Q9Y3A3	Q9QYW3
Q9Y3A3	Q6PEB6
Q9Y6R7	Q9Y6R7
O95813	O95813
O95813	O55233
O95813	Q9PWB0
P01833	P01833
P01833	P15083
P01833	P01832
P35568	P35568
P35568	Q91615
P35568	P35569
P35568	P35570
P41182	P41182
P41182	P41183
P48723	P48723
P51124	P51124
P51124	Q03238
P51124	Q6UWY2
P83369	P83369
P83369	Q8BUV6
Q12815	Q12815
Q13217	Q13217
Q13217	Q91YW3
Q13217	Q27968
Q13217	Q9R0T3
Q15599	Q15599
Q15599	Q920G2
Q15599	Q8SQG9
Q15599	Q9JHL1
Q15599	P70441
Q15599	Q9JJ19
Q15599	Q28619
Q15599	O14745
Q32P44	Q32P44
Q32P44	Q9HC35
Q32P44	Q3UMY5
Q32P44	Q05BC3
Q32P44	O00423
Q32P44	O95834
Q32P44	Q6P6T4
Q502W6	Q502W6
Q68DK7	Q68DK7
Q68DK7	Q6PDM1
Q7Z6B0	Q7Z6B0
Q86US8	Q86US8
Q86US8	A0A0R4IZ84
Q86YV9	Q86YV9
Q86YV9	Q8BLY7
Q92575	Q92575
Q96LX8	Q96LX8
Q9H0V9	Q9H0V9
Q9H0V9	P49256
Q9H0V9	Q12907
Q9H0V9	Q9DBH5
Q9H3P2	Q9H3P2
Q9H3P2	Q8BG30
Q9H7E9	Q9H7E9
Q9NR81	Q9NR81
Q9NR81	Q9Z206
Q9NR81	Q7Z628
Q9UBX0	Q9UBX0
Q9UBX0	Q61658
Q9UBX0	Q91898
A5D8V6	A5D8V6
P42574	P42574
P42574	Q95ND5
P42574	P70677
P42574	Q8MKI5
P42574	P55213
P42574	P55210
P42574	P97864
P42574	F1NV61
P42574	O08738
P42574	P55212
P42574	A0A1D5PPP7
P42574	O35397
P42574	O02002
P42574	O01382
P51948	P51948
P51948	P51949
Q07912	Q07912
Q07912	Q5U2X5
Q07912	O54967
Q07912	Q17R13
Q13315	Q13315
Q13315	Q62388
Q14159	Q14159
Q5QJE6	Q5QJE6
Q6P9F0	Q6P9F0
Q6P9F0	E9PVD1
Q6ZWJ1	Q6ZWJ1
Q6ZWJ1	Q9WV89
Q86WQ0	Q86WQ0
Q8IYJ3	Q8IYJ3
Q8IYJ3	Q99N80
Q8IYJ3	Q96C24
Q8IYJ3	Q8VHQ7
Q8IYJ3	Q9R0Q1
Q8IYJ3	Q8TDW5
Q8IYJ3	Q80T23
Q8N2R0	Q8N2R0
Q8N2R0	Q32NK7
Q8N2R0	Q91ZD1
Q8N2R0	B0K011
Q8N2R0	Q9WVG7
Q8N2R0	Q8TAX0
Q8N2R0	Q567J8
Q8N2R0	Q5XJQ7
Q8N2R0	Q66JF8
Q8N2R0	P86413
Q8N7C3	Q8N7C3
Q8NDZ2	Q8NDZ2
Q8NI08	Q8NI08
Q8NI08	Q6DFV7
Q8WUJ3	Q8WUJ3
Q8WUJ3	Q8BI06
Q8WUJ3	A3KPQ7
Q8WUJ3	Q9UHN6
Q8WUJ3	Q5FWI3
Q9BYR7	Q9BYR7
Q9BYR7	Q9BYR8
Q9BYR7	Q9BYR6
Q9H201	Q9H201
Q9H201	Q91W69
Q9H201	O95208
Q9H201	Q9Z1Z3
Q9H201	Q8CHU3
Q9H201	O88339
Q9H201	Q80VP1
Q9H201	Q9Y6I3
Q9H5U6	Q9H5U6
Q9H910	Q9H910
Q9NPF7	Q9NPF7
Q9NPF7	Q9EQ14
Q9NUS5	Q9NUS5
Q9ULJ3	Q9ULJ3
Q9UPQ9	Q9UPQ9
Q9UPQ9	Q8BKI2
Q9Y3R5	Q9Y3R5
O15091	O15091
O15091	Q8JZY4
P20333	P20333
P20333	Q80WY6
P20333	P25119
P23025	P23025
P23025	P27089
P23025	P27088
P23025	Q64267
P23025	P28518
P29590	P29590
P29590	Q60953
Q07627	Q07627
Q07627	P0C5Y4
Q07627	Q8IUG1
Q07627	Q9BYS1
Q15382	Q15382
Q15382	Q550Q4
Q15382	Q9VND8
Q15382	Q921J2
Q15382	Q8TAI7
Q15382	Q62639
Q15382	O94363
Q15382	E9R5S0
Q3YBR2	Q3YBR2
Q5T5X7	Q5T5X7
Q6PCB8	Q6PCB8
Q6PCB8	O88775
Q86SZ2	Q86SZ2
Q86SZ2	O75865
Q8IUW5	Q8IUW5
Q8IUW5	Q8NC24
Q8IUW5	Q8BRJ3
Q8N1L9	Q8N1L9
Q8N1L9	Q8R1H8
Q8N5Y2	Q8N5Y2
Q8N5Y2	Q9WVG9
Q8NC06	Q8NC06
Q8WWZ8	Q8WWZ8
Q8WWZ8	Q8R4V5
Q8WWZ8	Q6V0K7
Q92733	Q92733
Q96H22	Q96H22
Q96NT0	Q96NT0
Q96NT0	Q8VE99
Q96RT7	Q96RT7
Q9BQE5	Q9BQE5
Q9BQE5	O14791
Q9BQE5	O95236
Q9H2C0	Q9H2C0
Q9H6D3	Q9H6D3
Q9H6D3	Q8C0T0
Q9HAS0	Q9HAS0
Q9NQG1	Q9NQG1
Q9NSA0	Q9NSA0
Q9NSA0	Q9R1U7
Q9NSA0	Q8TCC7
Q9NSA0	O88909
Q9NSA0	Q8R0S9
Q9NSA0	Q8CFZ5
Q9NSA0	Q96S37
Q9NSA0	Q3ZAV1
Q9NSA0	Q8IVM8
Q9NSA0	Q8VCA0
Q9NSA0	Q76M99
Q9NSA0	Q8N4F4
Q9NSA0	O35956
Q9NSA0	Q8VC69
Q9NSA0	Q4W8A3
Q9NSA0	Q4U2R8
Q9NSA0	Q6NYN7
Q9UDW1	Q9UDW1
Q9UDW1	Q8R1I1
Q9UQQ1	Q9UQQ1
Q9UQQ1	O54697
A2APB8	A2APB8
A2APB8	Q9ULW0
A8DYP0	A8DYP0
E9PVA8	E9PVA8
E9PVA8	Q92616
F4HRV8	F4HRV8
F4HRV8	Q76CY8
O01498	O01498
O08692	O08692
O18209	O18209
O31854	O31854
O42354	O42354
O42354	P23804
O42354	Q00987
O88182	O88182
O88182	O76093
O88182	O89101
O88182	O57341
O88182	P37237
O88182	P55075
O88182	Q90722
O88182	O60258
O88182	Q6SJP8
O88182	P63075
P02510	P02510
P02510	P02511
P02510	P23928
P02510	P23927
P02510	P24622
P02510	P02489
P02510	P24623
P02510	P02470
P02510	O14558
P02510	P97541
P02510	Q16082
P02510	Q99PR8
P02510	Q00649
P02510	P15991
P02510	P04792
P02510	P42930
P02510	P14602
P04395	P04395
P05824	P05824
P0A710	P0A710
P0A8W0	P0A8W0
P0AAJ3	P0AAJ3
P0AAJ3	P0AAJ5
P0AE72	P0AE72
P11710	P11710
P13207	P13207
P13207	P22389
P13207	P23943
P13207	P20800
P13207	P48299
P13207	P14138
P20268	P20268
P21538	P21538
Q96UP3	Q96UP3
Q9UTN9	Q9UTN9
Q9UTN9	P0AFP2
D1MGU0	D1MGU0
D1MGU0	Q7LZ71
D1MGU0	P0DJL2
D1MGU0	Q9YGG9
D1MGU0	D1MGU1
D1MGU0	Q9YI92
D1MGU0	P0DJL3
D1MGU0	P81508
D1MGU0	P23807
D1MGU0	P81509
D1MGU0	Q9I841
O50462	O50462
O50462	O33347
O74443	O74443
O74443	O13719
O94643	O94643
P0CC12	P0CC12
P0CC12	A0A1L2FZD4
P40849	P40849
P40849	P34068
P40849	P34069
P58917	P58917
P84213	P84213
P9WNU1	P9WNU1
Q2G1M8	Q2G1M8
Q4WYG2	Q4WYG2
Q6FIR8	Q6FIR8
Q6FIR8	P39722
Q6FIR8	Q5ABR2
Q6FIR8	O59781
Q9USR0	Q9USR0
B2ACC7	B2ACC7
B2ACC7	Q03689
J9VSG5	J9VSG5
O14029	O14029
O53165	O53165
O74409	O74409
O74409	P33282
O94289	O94289
P9WJC5	P9WJC5
Q1MTN3	Q1MTN3
Q9P7F3	Q9P7F3
Q9USU8	Q9USU8
U3H042	U3H042
A0A1S4AX27	A0A1S4AX27
A0A1S4AX27	A0A1S3XQD6
A0A1S4AX27	Q8GWY0
O42659	O42659
P9WKI1	P9WKI1
Q09733	Q09733
Q5AZ85	Q5AZ85
Q7YW31	Q7YW31
Q7YW31	Q75W84
Q7YW31	P48974
Q7YW31	Q9WU02
Q7YW31	P47901
Q7YW31	O88721
Q7YW31	Q00788
Q7YW31	P30518
Q7YW31	P30560
Q7YW31	P97926
Q7YW31	P70536
Q7YW31	P30559
Q7YW31	Q9WTV8
Q7YW31	P37288
Q7YW31	Q62463
Q7YW31	Q5WA50
Q9HDV1	Q9HDV1
Q9UST1	Q9UST1
Q9Y805	Q9Y805
A0A5K4F1D0	A0A5K4F1D0
D8S5L4	D8S5L4
I1RFC6	I1RFC6
O42869	O42869
P0DV12	P0DV12
P56185	P56185
P82678	P82678
P87168	P87168
P9WKB7	P9WKB7
Q4WQZ3	Q4WQZ3
Q5AVS0	Q5AVS0
Q5AVS0	Q2UD93
Q6FRZ8	Q6FRZ8
Q90YI0	Q90YI0
Q9P7R3	Q9P7R3
Q9UTD5	Q9UTD5
Q5U3C3	Q5U3C3
Q9BWT6	Q9BWT6
Q9BWT6	Q09739
Q9BWT6	Q8GYD2
A6NJL1	A6NJL1
A6NJL1	Q9BUG6
Q6UY27	Q6UY27
Q8N3Z3	Q8N3Z3
Q8N3Z3	Q9CY28
Q9XRX5	Q9XRX5
Q6NT04	Q6NT04
Q8IZ81	Q8IZ81
Q8IZ81	Q08DZ3
Q8IZ81	Q3V1U8
Q8IZ81	Q8N336
Q969E1	Q969E1
Q9C0I3	Q9C0I3
B1AJZ9	B1AJZ9
B1AJZ9	A6PWD2
Q9BY19	Q9BY19
Q9BY19	Q9NXJ0
Q5H9R4	Q5H9R4
A0A1P8BH24	A0A1P8BH24
A0A1P8BH24	A0A1P8B1G7
A0A1P8BH24	A0A1P8BD36
A0A1P8BH24	Q1G3E7
F4K956	F4K956
O82233	O82233
O82233	Q93ZT6
P0AAX6	P0AAX6
P15977	P15977
P33343	P33343
P40403	P40403
P76224	P76224
Q07798	Q07798
Q12282	Q12282
Q54S52	Q54S52
Q84M24	Q84M24
Q8K013	Q8K013
Q8K013	A4D1E9
Q8VZG1	Q8VZG1
Q8VZG1	F4JQ95
Q9CXD9	Q9CXD9
Q9DCE5	Q9DCE5
Q9DCE5	Q9NWT1
Q9FZ37	Q9FZ37
Q9FZ37	F4HZC3
Q9FZ37	Q8GWW4
Q9FZ37	Q8W4A7
Q9FZ37	Q9LSB1
Q9LK91	Q9LK91
Q9M7I9	Q9M7I9
Q9U2D6	Q9U2D6
Q9VUK5	Q9VUK5
A2VD13	A2VD13
A2VD13	Q8C2E4
A2VD13	O75127
F4JSU0	F4JSU0
F4JSU0	Q9SJL7
F4JSU0	Q9FKL2
P0ACL9	P0ACL9
P37750	P37750
P40464	P40464
P47042	P47042
P53724	P53724
P67087	P67087
Q04411	Q04411
Q08919	Q08919
Q08919	Q08693
Q54HV7	Q54HV7
Q55BD5	Q55BD5
Q55BD5	Q9H9Q2
Q55BD5	Q9UBW8
Q55BD5	Q9V4S8
Q55BD5	Q94JU3
Q8C9X1	Q8C9X1
Q8RX73	Q8RX73
Q8RX73	O80458
Q8RX73	C1K5M2
Q8RX73	K7WQ45
Q8RX73	K4CA50
Q9LP07	Q9LP07
Q9LZ00	Q9LZ00
Q9SB89	Q9SB89
Q9SB89	Q03532
Q9SB89	Q09916
Q9SB89	Q5AK59
Q9SB89	P20448
Q9SB89	Q9NVP1
Q9SB89	Q9VD51
Q9SB89	Q9UTP9
Q9SB89	Q9FFT9
Q9SB89	Q9LIH9
Q9SB89	Q80Y44
Q9SB89	Q13206
Q9VR19	Q9VR19
G5EDW1	G5EDW1
P09424	P09424
P24469	P24469
P34704	P34704
P38750	P38750
P45530	P45530
P77561	P77561
P77561	P9WJP9
Q07904	Q07904
Q0WTP1	Q0WTP1
Q19714	Q19714
Q19714	Q921L3
Q19714	Q6DGW9
Q19714	Q9UM00
Q19714	A0A8I3PI99
Q19714	C5HGF3
Q3TMV7	Q3TMV7
Q3TMV7	Q8WU10
Q54F93	Q54F93
Q54VI6	Q54VI6
Q689D6	Q689D6
Q7TN38	Q7TN38
Q7TN38	P12526
Q7TN38	P04201
Q7TN38	P30554
Q91VD1	Q91VD1
Q91VD1	Q96DT0
Q9FPJ8	Q9FPJ8
Q9FPJ8	O60176
Q9FPJ8	Q9LEB3
Q9FPJ8	Q9SX79
Q9FPJ8	Q9SX80
Q9FPJ8	Q93W34
Q9FPJ8	Q0WW84
Q9FPJ8	Q9LEB4
Q9FPJ8	Q0J9Y2
Q9FPJ8	Q9SAB3
Q9FPJ8	F4I3B3
Q9FPJ8	Q8VXZ9
Q9LTS4	Q9LTS4
Q9SGA5	Q9SGA5
Q9SGA5	Q0V869
Q9ST43	Q9ST43
Q9VYF2	Q9VYF2
Q9VYF2	Q80V26
Q9VYF2	Q9NX62
P0ABX2	P0ABX2
P21623	P21623
P31600	P31600
P39347	P39347
P59900	P59900
P59900	Q9NT22
P77319	P77319
Q03482	Q03482
Q09544	Q09544
Q09544	P35434
Q09544	P05630
Q09544	Q9D3D9
Q09544	P30049
Q503F2	Q503F2
Q503F2	Q9ER42
Q503F2	Q9UMQ3
Q503F2	O08686
Q550H6	Q550H6
Q550H6	Q9LNK1
Q550H6	Q9SRS5
Q550H6	Q9SIP0
Q550H6	P28187
Q550H6	P28186
Q550H6	Q9SF91
Q550H6	O24466
Q550H6	Q9LZD4
Q550H6	P05714
Q550H6	Q6PHI9
Q550H6	Q54DA7
Q550H6	Q91ZR1
Q550H6	P51146
Q550H6	P56371
Q550H6	P20338
Q550H6	P61018
Q550H6	Q9C9U7
Q550H6	P34143
Q550H6	P38555
Q550H6	P36412
Q550H6	P28185
Q550H6	O01803
Q550H6	O49513
Q550H6	O35509
Q550H6	P62491
Q550H6	Q15907
Q550H6	O04486
Q550H6	P46638
Q550H6	P62492
Q550H6	Q9FK68
Q550H6	P62494
Q550H6	Q9SN35
Q550H6	P51996
Q550H6	P62490
Q550H6	P0CY31
Q550H6	P34140
Q550H6	P62821
Q550H6	P10536
Q550H6	P01123
Q550H6	Q9D1G1
Q550H6	Q9H0U4
Q550H6	Q54NU2
Q550H6	P11620
Q550H6	P62822
Q550H6	P62820
Q550H6	Q6NYB7
Q550H6	P34139
Q550H6	Q54E92
Q550H6	Q54FL2
Q550H6	O76173
Q550H6	Q9UL25
Q550H6	P34142
Q550H6	Q6AXT5
Q550H6	P35282
Q550H6	Q558I0
Q550H6	P34141
Q550H6	Q9H082
Q550H6	O35963
Q550H6	O13876
Q550H6	Q54GY8
Q550H6	Q14088
Q550H6	Q923S9
Q550H6	Q15771
Q550H6	Q9SJZ5
Q550H6	Q9FJN8
Q550H6	Q9SMQ6
Q550H6	Q9LNW1
Q550H6	Q96283
Q550H6	Q9FE79
Q550H6	Q39222
Q550H6	P17610
Q550H6	Q9S810
Q550H6	Q9LH50
Q550H6	Q9FIF9
Q550H6	Q9LK99
Q550H6	Q9FGK5
Q69P88	Q69P88
Q7TMX5	Q7TMX5
Q7TMX5	Q6PI26
Q8CHW5	Q8CHW5
Q8CHW5	A1A5D9
Q945B5	Q945B5
Q945B5	Q945B4
Q945B5	Q9ZTA2
Q9I9N5	Q9I9N5
Q9I9N5	Q3U0V2
Q9I9N5	Q15628
Q9MAG8	Q9MAG8
Q9SIW1	Q9SIW1
Q9SIW1	O65685
Q9SIW1	Q94KL5
Q9SIW1	Q9SW80
Q9SIW1	Q9FWS9
Q9SIW1	Q9FXG8
Q9VDR1	Q9VDR1
O34916	O34916
P0A8R9	P0A8R9
P19967	P19967
P30777	P30777
P37018	P37018
P39965	P39965
P45531	P45531
P76461	P76461
P76461	P0C7L2
P76461	Q5XI22
P76461	Q9BWD1
P76461	Q8CAY6
P76461	Q8LF48
P76461	C8YNG6
P76461	Q56WD9
P76461	Q570C8
P76461	P07871
P76461	P09110
P76461	Q921H8
P76461	P21775
P76461	Q8VCH0
P76461	P27796
P76461	Q46939
P76461	P9WG69
P76461	P21151
P76461	Q22100
P76461	Q8S4Y1
P76461	Q9FIK7
P76461	Q9UQW6
P76461	P41338
P76461	Q86AD9
P76461	P17764
P76461	P24752
P76461	Q8QZT1
P76461	P13437
P76461	P42765
P76461	Q8BWT1
Q08750	Q08750
Q12412	Q12412
Q20574	Q20574
Q6EUK7	Q6EUK7
Q6EUK7	Q9C7R6
Q8H1R4	Q8H1R4
Q91VD6	Q91VD6
Q91VD6	Q9WTL0
Q91VD6	P82019
Q91VD6	Q91V82
Q99MU1	Q99MU1
Q99MU1	Q791F6
Q99MU1	Q86W33
Q9FFQ7	Q9FFQ7
Q9FFQ7	Q94CD1
Q9FMF8	Q9FMF8
Q9FMF8	Q9FMF7
Q9FMF8	Q8L7Z9
Q9FMF8	Q9LXV3
Q9FMF8	Q41364
Q9LET0	Q9LET0
Q9LET0	O80674
Q9LET0	Q9LS08
Q9LET0	Q9S7Y1
Q9LET0	Q9XEF0
Q9SH66	Q9SH66
Q9SH66	Q9SUQ8
Q9SH66	Q1ZZU9
Q9SH66	O82498
Q9SS87	Q9SS87
Q9V676	Q9V676
Q9Z221	Q9Z221
Q9Z221	Q9WVQ0
Q9Z221	Q8TBY8
Q9HU16	Q9HU16
Q9HWZ6	Q9HWZ6
Q9HWZ6	P21216
Q9HWZ6	Q949J1
Q9HWZ6	Q43187
Q9HWZ6	O82597
Q9HWZ6	O82793
Q9HWZ6	Q9LFF9
Q9HWZ6	Q93V56
Q9HWZ6	P9WI55
Q9HWZ6	P0A7A9
Q9HUM0	Q9HUM0
Q9HUM0	P0A1R0
Q9HUM0	P0A6X3
Q9I741	Q9I741
Q9I741	Q9I0F3
Q9I741	Q9I737
C8VI80	C8VI80
O13987	O13987
O59802	O59802
O74496	O74496
P0A126	P0A126
P0A126	P0A6X7
P0A126	Q51472
P74860	P74860
P85008	P85008
P85008	Q86LE4
P85008	Q86QI5
P85008	K7N5L0
P9WHM7	P9WHM7
P9WHM7	P15639
P9WPS5	P9WPS5
Q59X26	Q59X26
Q9P6J3	Q9P6J3
Q9X9S0	Q9X9S0
Q9X9S0	P28272
Q9X9S0	Q57U83
A2R6G7	A2R6G7
A2R6G7	A0A1R3RGJ2
A2R6G7	A0A0U3AL34
A2R6G7	Q2UPC7
A2R6G7	A0A455R7M0
A2R6G7	A0A0U2JT80
A2R6G7	D7PI14
A2R6G7	B3FWT7
A2R6G7	C5H881
A2R6G7	A0A0U3C228
A2R6G7	G3FLZ8
A2R6G7	G3FLZ7
A2R6G7	Q0CCX4
A2R6G7	A0A067XMV4
O13632	O13632
O14306	O14306
O53451	O53451
O74992	O74992
O94660	O94660
O94660	Q8VDK1
O94660	Q86X76
O94660	P47016
O94660	O76463
O94660	Q94JV5
O94660	O76464
P0CL08	P0CL08
P14965	P14965
P14965	P11172
P14965	P13439
P14965	Q01637
P14965	P09556
P14965	P33283
P14965	P03962
P14965	P13649
P14965	P10652
P14965	O13410
P14965	Q42586
P9WHP1	P9WHP1
P9WMS1	P9WMS1
Q09065	Q09065
Q5B6H7	Q5B6H7
Q6FIN8	Q6FIN8
Q96WS1	Q96WS1
Q9US53	Q9US53
Q9Y7R6	Q9Y7R6
G0S4F3	G0S4F3
O13744	O13744
O14273	O14273
O74517	O74517
O94337	O94337
O94337	Q9FI94
O94337	P38791
O94337	Q9XXJ0
O94337	Q3TXU5
O94337	Q6AY53
O94337	P49366
O94337	Q9VSF4
P0CT73	P0CT73
P0CT73	O65569
P0CT73	P62281
P0CT73	Q0E9B6
P0CT73	P62280
P0CT73	P62282
P0CT73	G1TRM4
P0CT73	P42733
P0CT73	P16181
P0CT73	P0CX48
P0CT73	P0CX47
P60200	P60200
P9WMM1	P9WMM1
Q09724	Q09724
Q57880	Q57880
Q6AZN0	Q6AZN0
Q6AZN0	Q5VJS5
Q6AZN0	Q8R368
Q6AZN0	Q8WXU2
Q7LKZ7	Q7LKZ7
Q95V77	Q95V77
Q9UU94	Q9UU94
B3EWQ1	B3EWQ1
B3EWQ1	B3EWQ2
O14094	O14094
O49250	O49250
O49250	Q9SNW8
O49250	Q9FYG7
O93870	O93870
O94756	O94756
P0CL61	P0CL61
P86387	P86387
P86387	Q9SSQ9
P86387	Q38882
P86387	Q9C888
P86387	O23078
P86387	P93733
P86387	Q9C5Y0
P86387	P58766
P86387	Q9T051
P86387	Q9T053
P9WFZ9	P9WFZ9
P9WFZ9	P0AFH6
Q09670	Q09670
Q09670	Q09671
Q10477	Q10477
Q8RXA5	Q8RXA5
Q8RXA5	Q93XP7
Q9P6P0	Q9P6P0
Q9USJ2	Q9USJ2
Q9USJ2	Q03554
Q9UU90	Q9UU90
A0A182C2Z2	A0A182C2Z2
F7DP49	F7DP49
O42866	O42866
O74358	O74358
P30303	P30303
P78761	P78761
P84794	P84794
P86513	P86513
P86513	P86512
P86513	P86510
P86513	P86514
P86513	P86511
P9WGP1	P9WGP1
P9WND5	P9WND5
Q09668	Q09668
Q09668	Q9D7S7
Q09668	Q6P5R6
Q09668	P67985
Q09668	P35268
Q09668	P47198
Q09668	P67984
Q09668	P05749
Q09668	P56628
Q09668	Q9FE58
Q09668	Q9M9W1
Q09668	Q9SRX7
Q17217	Q17217
Q5B7I7	Q5B7I7
Q6FRJ6	Q6FRJ6
Q6FRJ6	P40161
Q8SRT0	Q8SRT0
Q9HE06	Q9HE06
Q9P7N9	Q9P7N9
Q9P7N9	Q7KQM2
Q9P7N9	Q8IUR0
Q9P7N9	Q9CQA1
Q9UT83	Q9UT83
Q5I0X4	Q5I0X4
Q96PP4	Q96PP4
Q69YL0	Q69YL0
A8MSI8	A8MSI8
Q6ZSC3	Q6ZSC3
E9PI22	E9PI22
Q8TCA0	Q8TCA0
Q5BKY6	Q5BKY6
O82290	O82290
P31448	P31448
P39975	P39975
P53344	P53344
P53344	Q07788
P53344	P38723
P53344	P0CX12
P53344	P47187
P53344	P0CX13
P53344	P43542
P53344	P53822
P53344	P53053
P53344	P52924
P76514	P76514
Q06608	Q06608
Q21827	Q21827
Q54DV5	Q54DV5
Q54DV5	Q54P69
Q9FLJ6	Q9FLJ6
Q9S728	Q9S728
Q9SZE8	Q9SZE8
Q9SZE8	Q9SN23
Q9SZE8	Q9FN11
A8MR88	A8MR88
O31815	O31815
O31815	O31913
P0A9W9	P0A9W9
P0CW03	P0CW03
P0CW03	P0CW02
P0CW03	P05533
P0CW03	P35461
P0CW03	Q9WU67
P46125	P46125
P77091	P77091
Q08774	Q08774
Q7TN39	Q7TN39
Q8MS27	Q8MS27
Q94C33	Q94C33
Q9M0U1	Q9M0U1
Q9SVC5	Q9SVC5
P0AA31	P0AA31
P34394	P34394
P40049	P40049
P52044	P52044
P76091	P76091
Q2V4F0	Q2V4F0
Q54SK0	Q54SK0
Q6TYB5	Q6TYB5
Q6TYB5	Q9UHY8
Q6TYB5	P97578
Q6TYB5	Q8K0X8
Q6TYB5	P97577
Q6TYB5	Q99689
Q8LFA9	Q8LFA9
Q9M1Y3	Q9M1Y3
Q9STZ8	Q9STZ8
Q9STZ8	Q39131
Q9STZ8	Q9MAC1
A5WWC6	A5WWC6
A5WWC6	Q8BTX9
A5WWC6	Q3SXM5
O49651	O49651
O49651	Q9FFL3
P0ABR1	P0ABR1
P39356	P39356
P64506	P64506
P77717	P77717
Q12116	Q12116
Q3SZ22	Q3SZ22
Q3SZ22	Q9H2W6
Q3SZ22	Q9EQI8
Q8L838	Q8L838
Q94EG6	Q94EG6
Q94EG6	O80934
Q9D7J9	Q9D7J9
Q9D7J9	Q96DC8
Q9D7J9	Q3MIE0
Q9LQZ0	Q9LQZ0
Q9LQZ0	Q9FXH5
Q9SRN0	Q9SRN0
Q9SRN0	Q9FI03
Q9ZQ34	Q9ZQ34
O13512	O13512
O82264	O82264
P0AF78	P0AF78
P32139	P32139
P39282	P39282
P52636	P52636
P71238	P71238
Q02873	Q02873
Q54NU8	Q54NU8
Q9FZ89	Q9FZ89
Q9LTA3	Q9LTA3
A0A5H1ZR48	A0A5H1ZR48
O14009	O14009
O60053	O60053
O74989	O74989
P84785	P84785
P9WGJ7	P9WGJ7
P9WMC7	P9WMC7
Q10072	Q10072
Q9P7K2	Q9P7K2
O13695	O13695
O59681	O59681
P0DRJ6	P0DRJ6
P9WG61	P9WG61
P9WL21	P9WL21
Q09800	Q09800
Q59QC2	Q59QC2
Q9C0Z8	Q9C0Z8
Q9UT16	Q9UT16
O14020	O14020
O60024	O60024
O94384	O94384
P0DRJ0	P0DRJ0
P0DRJ0	P82176
Q5ASP0	Q5ASP0
Q9P7X9	Q9P7X9
Q9Y7T2	Q9Y7T2
C6Y4C3	C6Y4C3
O14358	O14358
O69670	O69670
O94528	O94528
O94528	Q5ABU7
O94528	P38124
O94528	Q6FRT5
O94528	Q6FRT6
P19214	P19214
P87137	P87137
P9WJ35	P9WJ35
Q10436	Q10436
Q9URV0	Q9URV0
O14116	O14116
O74363	O74363
P86737	P86737
P9WJE7	P9WJE7
Q09910	Q09910
Q9P7D5	Q9P7D5
Q9UT87	Q9UT87
O04491	O04491
P67762	P67762
Q12531	Q12531
P0AD05	P0AD05
P75973	P75973
Q9LI89	Q9LI89
Q08756	Q08756
O14219	O14219
Q57904	Q57904
P9WL67	P9WL67
Q9UUN3	Q9UUN3
Q09787	Q09787
O94583	O94583
Q9C0Y7	Q9C0Y7
P9WLK3	P9WLK3
O00712	O00712
O00712	P97863
O00712	P70255
O00712	P08651
O00712	P70257
O00712	Q14938
O00712	P09414
O00712	Q12857
O00712	Q02780
O95876	O95876
O95876	Q32NR9
O95876	Q8C456
P08519	P08519
P16455	P16455
P16455	P24528
P16455	P26187
P29084	P29084
P29084	Q9D902
P35573	P35573
P98082	P98082
P98082	O88797
P98082	P98078
Q13630	Q13630
Q13630	P23591
Q13630	G5EER4
Q13630	Q55C77
Q13630	Q9W1X8
Q14596	Q14596
Q14596	P97432
Q16825	Q16825
Q16825	Q62728
Q16825	Q15678
Q16825	Q62130
Q58DX5	Q58DX5
Q5T749	Q5T749
Q5T749	B2RUR4
Q5XKL5	Q5XKL5
Q5XKL5	D3YUB6
Q5XKL5	D4A0X3
Q6PJT7	Q6PJT7
Q6PJT7	Q8BJ05
Q6PJT7	Q7TMD5
Q86W24	Q86W24
Q8TCY9	Q8TCY9
Q96PZ2	Q96PZ2
Q9BTP7	Q9BTP7
Q9BXL6	Q9BXL6
Q9H7P9	Q9H7P9
Q9NPE2	Q9NPE2
Q9NPE2	Q99KS2
Q9NXG6	Q9NXG6
Q9NXG6	Q8BG58
Q9Y4W2	Q9Y4W2
Q9Y6C2	Q9Y6C2
Q9Y6C2	Q99K41
O75832	O75832
O75832	Q9Z2X2
O95684	O95684
P13385	P13385
P13385	P51864
P13385	P51865
P20160	P20160
P20160	Q61096
P20160	P24158
P20160	Q3UP87
